iter	Passed	Remaining
601	1303	861
602	1305	859
603	1307	857
604	1313	857
605	1316	855
606	1319	854
607	1321	852
608	1324	850
609	1326	848
610	1328	845
611	1330	843
612	1332	840
613	1333	838
614	1335	836
615	1338	834
616	1342	833
617	1344	831
618	1348	830
619	1352	829
620	1355	827
621	1357	825
622	1361	824
623	1364	821
624	1368	821
625	1370	819
626	1374	817
627	1376	815
628	1380	814
629	1382	811
630	1386	810
631	1388	808
632	1391	806
633	1395	805
634	1397	803
635	1400	801
636	1402	799
637	1404	796
638	1406	794
639	1408	792
640	1410	789
641	1412	787
642	1414	785
643	1415	782
644	1418	780
645	1420	778
646	1422	775
647	1424	773
648	1426	771
649	1428	769
650	1430	766
651	1431	764
652	1434	762
653	1436	759
654	1439	758
655	1441	756
656	1445	754
657	1447	752
658	1449	750
659	1451	747
660	1452	745
661	1454	742
662	1456	740
663	1458	737
664	1459	735
665	1461	733
666	1463	730
667	1464	727
668	1467	726
669	1469	723
670	1470	720
671	1472	718
672	1473	716
673	1475	713
674	1476	711
675	1478	708
676	1479	706
677	1481	703
678	1482	700
679	1484	698
680	1485	695
681	1487	693
682	1489	691
683	1490	688
684	1491	685
685	1492	683
686	1495	681
687	1496	678
688	1498	676
689	1499	673
690	1501	671
691	1503	669
692	1504	666
693	1506	664
694	1508	662
695	1510	659
696	1513	657
697	1515	655
698	1516	653
699	1518	650
700	1520	648
701	1522	646
702	1523	643
703	1525	641
704	1526	638
705	1528	636
706	1530	634
707	1531	631
708	1533	629
709	1534	626
710	1536	624
711	1537	622
712	1539	619
713	1540	617
714	1542	614
715	1543	612
716	1545	609
717	1548	608
718	1550	605
719	1551	603
720	1554	601
721	1555	598
722	1556	596
723	1558	593
724	1559	591
725	1561	589
726	1562	586
727	1564	584
728	1566	582
729	1567	579
730	1568	577
731	1571	575
732	1573	572
733	1574	570
734	1576	568
735	1577	565
736	1580	563
737	1582	561
738	1583	559
739	1584	556
740	1586	554
741	1588	552
742	1590	550
743	1591	547
744	1593	545
745	1594	542
746	1595	540
747	1596	537
748	1598	535
749	1600	533
750	1601	530
751	1602	528
752	1603	526
753	1605	523
754	1606	521
755	1607	518
756	1609	516
757	1611	514
758	1613	512
759	1615	510
760	1617	507
761	1618	505
762	1619	503
763	1621	500
764	1623	498
765	1624	496
766	1625	493
767	1626	491
768	1628	489
769	1630	486
770	1631	484
771	1633	482
772	1634	480
773	1636	477
774	1637	475
775	1639	473
776	1641	471
777	1642	468
778	1643	466
779	1644	463
780	1646	461
781	1648	459
782	1649	457
783	1650	454
784	1653	452
785	1654	450
786	1656	448
787	1658	446
788	1659	443
789	1660	441
790	1662	439
791	1663	436
792	1664	434
793	1666	432
794	1667	429
795	1668	427
796	1670	425
797	1671	423
798	1672	420
799	1674	418
800	1676	416
801	1677	414
802	1679	412
803	1682	410
804	1683	407
805	1685	405
806	1687	403
807	1689	401
808	1692	399
809	1694	397
810	1698	395
811	1700	393
812	1703	391
813	1706	389
814	1707	387
815	1710	385
816	1712	383
817	1714	381
818	1716	379
819	1717	377
820	1719	374
821	1723	373
822	1727	371
823	1729	369
824	1732	367
825	1734	365
826	1738	363
827	1740	361
828	1743	359
829	1745	357
830	1749	355
831	1751	353
832	1753	351
833	1755	349
834	1756	347
835	1760	345
836	1763	343
837	1765	341
838	1767	339
839	1770	337
840	1771	334
841	1774	332
842	1776	330
843	1778	328
844	1781	326
845	1782	324
846	1784	322
847	1787	320
848	1788	318
849	1791	316
850	1793	313
851	1795	311
852	1797	309
853	1798	307
854	1801	305
855	1804	303
856	1806	301
857	1808	299
858	1809	297
859	1812	295
860	1814	292
861	1815	290
862	1818	288
863	1820	286
864	1824	284
865	1826	282
866	1830	280
867	1832	278
868	1835	276
869	1837	274
870	1839	272
871	1841	270
872	1843	268
873	1845	265
874	1847	263
875	1848	261
876	1851	259
877	1853	257
878	1854	255
879	1856	253
880	1858	251
881	1860	248
882	1862	246
883	1864	244
884	1865	242
885	1868	240
886	1870	238
887	1871	236
888	1874	234
889	1875	231
890	1877	229
891	1879	227
892	1881	225
893	1883	223
894	1886	221
895	1889	219
896	1891	217
897	1893	215
898	1896	213
899	1897	210
900	1899	208
901	1901	206
902	1903	204
903	1905	202
904	1907	200
905	1909	198
906	1912	196
907	1914	193
908	1915	191
909	1918	189
910	1920	187
911	1921	185
912	1924	183
913	1926	181
914	1927	179
915	1930	177
916	1932	174
917	1935	172
918	1937	170
919	1938	168
920	1941	166
921	1942	164
922	1944	162
923	1946	160
924	1948	157
925	1950	155
926	1952	153
927	1954	151
928	1957	149
929	1959	147
930	1961	145
931	1963	143
932	1964	141
933	1965	138
934	1968	136
935	1969	134
936	1970	132
937	1972	130
938	1974	128
939	1976	126
940	1977	123
941	1979	121
942	1981	119
943	1982	117
944	1985	115
945	1986	113
946	1988	111
947	1989	109
948	1992	107
949	1993	104
950	1995	102
951	1997	100
952	1999	98
953	2000	96
954	2002	94
955	2003	92
956	2004	90
957	2006	87
958	2008	85
959	2010	83
960	2011	81
961	2014	79
962	2015	77
963	2016	75
964	2018	73
965	2021	71
966	2023	69
967	2025	66
968	2027	64
969	2031	62
970	2033	60
971	2036	58
972	2039	56
973	2042	54
974	2044	52
975	2046	50
976	2048	48
977	2051	46
978	2053	44
979	2056	41
980	2058	39
981	2060	37
982	2062	35
983	2064	33
984	2068	31
985	2074	29
986	2076	27
987	2080	25
988	2083	23
989	2085	21
990	2090	18
991	2097	16
992	2100	14
993	2104	12
994	2109	10
995	2111	8
996	2114	6
997	2118	4
998	2123	2
999	2127	0
